Marine,Sum Sq,Mean Sq,Df,F,Pr(>F),R2
empo_3,25.6859482377242,6.42148705943105,4,18.1867475177804,0.001,0.15
Residuals,141.234424751387,0.353086061878467,400,NA,NA,NA
Total,166.920372989111,NA,404,NA,NA,NA
Riverine,,,,,,
empo_3,18.5488907237657,4.63722268094143,4,12.3011806781964,0.001,0.17
Residuals,93.8664732891083,0.376973788309672,249,NA,NA,NA
Total,112.415364012874,NA,253,NA,NA,NA
Terrestrial,,,,,,
empo_3,53.4945400709487,5.94383778566096,9,14.8537596402301,0.001,0.15
Residuals,296.516431250569,0.400157127193751,741,NA,NA,NA
Total,350.010971321518,NA,750,NA,NA,NA
