site_name,site_code,site_type,latitude_deg,longitude_deg,habitat,envo_biome_2,elevation,N
OutsideRocks,M2,Core Waimea,21.63852,-158.07061,Marine,marine biome,0,67
OutsideOcean,M1,Core Waimea,21.63854,-158.07167,Marine,marine biome,0,58
DrumRoad,4,Core Waimea,21.6203,-158.01466,Terrestrial/Riverine,forest biome,188.568141573368,119
Estuary,5,Core Waimea,21.63696,-158.05855,Terrestrial/Riverine,forest biome,6,137
Ridge,7,Core Waimea,21.59049,-157.95499,Terrestrial/Riverine,forest biome,682.330451362781,69
Confluence,2,Core Waimea,21.63094,-158.04771,Terrestrial/Riverine,forest biome,23.2343572950822,142
Beach,6,Core Waimea,21.64051,-158.06264,Terrestrial/Riverine,forest biome,1.97598633836654,107
Waterfall,3,Core Waimea,21.62997,-158.04263,Terrestrial/Riverine,forest biome,68.0546348493809,121
Beach,6,Core Waimea,21.64051,-158.06264,Marine,marine biome,1.97598633836654,9
TwinRocks,M4,Core Waimea,21.63677,-158.07189,Marine,marine biome,0,73
SharksCove,M6,Core Waimea,21.64884,-158.06567,Marine,marine biome,0,69
UppersBeach,M3,Core Waimea,21.63892,-158.07127,Marine,marine biome,0,69
Entrance,1,Core Waimea,21.6336,-158.05209,Terrestrial/Riverine,forest biome,45.20620149082,144
WaimeaBay,M7,Core Waimea,21.64272,-158.06626,Marine,marine biome,0,51
ThreeTablesBeach,M5,Core Waimea,21.64499,-158.06658,Marine,marine biome,0,71
Confluence,3,Core Waimea,21.63094,-158.04771,Terrestrial/Riverine,forest biome,23.2343572950822,5
