filename,habitat,site,nObs,nOTUs,nCats
../split_data/habisite_Marine-OutsideOcean_empo_3.csv,Marine,OutsideOcean,7004291,32310,5
../split_data/habisite_Marine-OutsideRocks_empo_3.csv,Marine,OutsideRocks,6158624,26150,4
../split_data/habisite_Marine-SharksCove_empo_3.csv,Marine,SharksCove,4203589,26457,5
../split_data/habisite_Marine-ThreeTablesBeach_empo_3.csv,Marine,ThreeTablesBeach,4352004,26730,5
../split_data/habisite_Marine-TwinRocks_empo_3.csv,Marine,TwinRocks,5089568,27706,5
../split_data/habisite_Marine-UppersBeach_empo_3.csv,Marine,UppersBeach,5394329,33169,5
../split_data/habisite_Marine-WaimeaBay_empo_3.csv,Marine,WaimeaBay,2903140,21577,4
../split_data/habisite_Riverine-Beach_empo_3.csv,Riverine,Beach,4299902,21008,4
../split_data/habisite_Riverine-Confluence_empo_3.csv,Riverine,Confluence,4486061,32609,5
../split_data/habisite_Riverine-DrumRoad_empo_3.csv,Riverine,DrumRoad,3823738,23885,5
../split_data/habisite_Riverine-Entrance_empo_3.csv,Riverine,Entrance,11634209,52457,5
../split_data/habisite_Riverine-Estuary_empo_3.csv,Riverine,Estuary,4581603,26485,5
../split_data/habisite_Riverine-Ridge_empo_3.csv,Riverine,Ridge,2010864,14692,5
../split_data/habisite_Riverine-Waterfall_empo_3.csv,Riverine,Waterfall,4231931,23765,5
../split_data/habisite_Terrestrial-Beach_empo_3.csv,Terrestrial,Beach,9615704,35011,9
../split_data/habisite_Terrestrial-Confluence_empo_3.csv,Terrestrial,Confluence,12068511,43548,10
../split_data/habisite_Terrestrial-DrumRoad_empo_3.csv,Terrestrial,DrumRoad,9872918,42504,9
../split_data/habisite_Terrestrial-Entrance_empo_3.csv,Terrestrial,Entrance,24585023,56533,10
../split_data/habisite_Terrestrial-Estuary_empo_3.csv,Terrestrial,Estuary,11054390,48585,9
../split_data/habisite_Terrestrial-Ridge_empo_3.csv,Terrestrial,Ridge,4267052,21924,7
../split_data/habisite_Terrestrial-Waterfall_empo_3.csv,Terrestrial,Waterfall,9731225,36843,10
