,family,q-val
0,f__Spirochaetaceae,0.0
1,f__Bacteriovoracaceae,0.0
2,f__Rhodospirillaceae,0.0
3,f__Cytophagaceae,0.0
4,f__M1PL1-46,0.0
5,f__Ellin6075,0.0
6,f__Helicobacteraceae,0.0
7,f__Desulfobacteraceae,0.0
8,f__JTB36,0.0
9,f__Pseudomonadaceae,0.0
10,f__Clostridiaceae,0.0
11,f__kpj58rc,0.0
12,f__[Kouleothrixaceae],0.0
13,f__SJA-101,0.0
14,f__Methylocystaceae,0.0
15,f__ANME-2c,0.0
16,f__Methanobacteriaceae,0.0
17,f__Christensenellaceae,0.0
18,f__mitochondria,0.0
19,f__Bradyrhizobiaceae,0.0
20,f__Piscirickettsiaceae,0.0
21,f__Anaeroplasmataceae,0.0
22,f__Ruminococcaceae,0.0
23,f__Ellin517,0.0
24,f__Caulobacteraceae,0.0
25,f__Lachnospiraceae,0.0
26,f__Desulfobulbaceae,0.0
27,f__R4-41B,0.0
28,f__Methanomicrobiaceae,0.0
29,f__Haliangiaceae,0.0
30,f__Gemmataceae,0.0
31,f__mb2424,0.0
32,f__Planctomycetaceae,0.0
33,f__Moraxellaceae,0.0
34,f__Bdellovibrionaceae,0.0
35,f__Trueperaceae,3.613087606879617e-11
36,f__oc28,8.666067863316584e-11
37,f__Syntrophobacteraceae,8.734679646238419e-11
38,f__Bacteroidaceae,7.737796292595078e-09
39,f__Sinobacteraceae,5.3876570982325234e-08
40,f__Dehalococcoidaceae,9.861754857176663e-08
41,f__SUP05,1.1781068176563991e-07
42,f__0319-6G20,1.9378359119581745e-06
43,f__Ellin5301,2.2641855755844986e-06
44,f__Sphingomonadaceae,4.399579074276794e-06
45,f__Veillonellaceae,9.860006816131417e-06
46,f__Coxiellaceae,1.9519844428161903e-05
47,f__Pirellulaceae,2.856717873267467e-05
48,f__Chlamydomonadaceae,3.677726836781581e-05
49,f__[Entotheonellaceae],7.312606577469793e-05
50,f__RFP12,0.00014207813637667766
51,f__Pseudanabaenaceae,0.00020263143907417458
52,f__Methanosaetaceae,0.0003012727985013397
53,f__Desulfuromonadaceae,0.00035648441569424705
54,f__Xanthomonadaceae,0.00037658433584075723
55,f__Nitrospiraceae,0.0005234180021096435
56,f__Hyphomonadaceae,0.0017225494928828633
57,f__Synechococcaceae,0.0017794025872066577
