SampleID,read_count
56729.2080.S16D90,2258
57656.945.P4.B8.lane2.NoIndex.L002,17572
57667.1748.4.24.12.FR.14.V,43046
58097.990.KA3U.A.22,12809
58273.1736.O36.0211,14496
58841.1883.2006.017.Crump.Artic.LTREB.main.lane1.NoIndex,6172
58841.1883.2006.185.Crump.Artic.LTREB.main.lane1.NoIndex,10334
58841.1883.2007.175.Crump.Artic.LTREB.main.lane2.NoIndex,12845
58841.1883.2007.533.Crump.Artic.LTREB.main.lane2.NoIndex,11274
58841.1883.2009.022.Crump.Artic.LTREB.main.lane3.NoIndex,8290
58869.894.MR329.lane3.NoIndex.L003,3373
58869.894.UY1348.lane5.NoIndex.L005,3495
59252.1716.McG.PAPrS23,2018
59761.550.L2S214.s.2.sequence,2221
60151.925.SB5x,116
60513.808.HI.20.18a.s.4.1.sequences,25
60925.1526.HCanyon6R2,1511
61262.1747.kawan.407319.saliva,10
61532.1288.TBE25Aug08.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence,830
61911.1521.EB032.s.6.1.sequences,3898
93521.905.PLO6.t2.ANOX.0to1cm.1,4096
93833.2229.S1.T25.EH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,13743
93833.2229.S1.T33.PH1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,17460
94580.13115.1776,59174
94580.13115.1777,424394
94580.13115.1778,108777
94580.13115.1779,194185
94580.13115.20,20738
94580.13115.21,210014
94580.13115.2612,33886
94580.13115.2676,39860
94580.13115.2677,56168
94580.13115.2692,20317
94580.13115.2695,4986
94580.13115.2712,6871
94580.13115.2717,60172
94580.13115.2737,24712
94580.13115.2742,41429
94580.13115.2756,12785
94580.13115.2764,6856
94580.13115.2772,14435
94580.13115.2782,17928
94580.13115.34,40806
94580.13115.36,20859
94580.13115.362,50611
94580.13115.364,5581
94580.13115.377,46773
94580.13115.379,24561
94580.13115.407,76310
94580.13115.420,101895
94580.13115.496,22983
94580.13115.497,41218
94580.13115.630,11442
94580.13115.631,79743
94580.13115.640,13158
94580.13115.641,6297
94580.13115.643,28976
94580.13115.644,146503
94580.13115.65,196430
94580.13115.77,78876
